img,buses,my_route_avg,my_route_buses,my_route_duration,gtfs_route_avg,gtfs_route_buses,gtfs_route_duration,no_bus_equal_trips,total_trips
1005.png,7,1673.7887121157316,52,2761.9896624472563,1582.4054008137432,41,1499.874683544304,43,100
1006.png,7,1923.6449880952384,47,3682.8213080168766,1483.3309457052437,72,3643.0491561181443,22,100
1009.png,7,1489.5392585744419,53,4492.9580168776365,1493.301352923447,48,1990.6529535864975,39,100
1018.png,7,1993.8019913652802,27,1597.625105485232,1977.6425109553954,40,4685.948734177215,51,100
1020.png,7,1390.5902586949967,10,1084.8400843881857,1322.3353003164555,35,1486.651476793249,61,100
1028.png,7,1226.7955515521394,51,4280.009282700421,1190.0200871760096,59,2088.514556962025,39,100
1035.png,7,1942.4007196202524,57,3470.9175105485233,2147.218297619047,29,2411.3054852320674,32,100
1041.png,7,1900.5996355334532,29,5639.624261603373,1977.8956022302584,17,1745.6413502109708,60,100
1046.png,7,1479.4594385021105,56,2289.702742616033,1436.8623189572024,50,4476.655907172997,28,100
1064.png,7,1547.6332246835448,21,673.9829113924051,1285.2799943188666,55,2386.645991561182,39,100
1070.png,7,1147.4824368444843,44,1098.4664556962025,1120.588388185654,67,997.4394514767932,30,100
1084.png,7,1969.4188579716692,45,738.5786919831223,1939.3550861814351,39,594.4860759493671,41,100
1095.png,7,1606.002425708258,19,673.9829113924051,1349.8081435352624,58,2386.645991561182,33,100
110.png,7,1980.5198427365885,26,1393.8862869198313,2007.1896885473186,24,4397.117510548524,65,100
1106.png,7,1652.3890202380956,5,572.007594936709,1588.3071742616032,21,2469.2280590717296,75,100
1125.png,7,1548.1283364677513,53,4223.838607594936,1517.9659927215193,61,2402.3016877637124,34,100
1134.png,7,2193.01614159132,37,3714.9335443037967,1881.5908163502108,66,2240.9672995780593,33,100
1138.png,7,1632.8797063291138,55,1561.4894514767932,1515.8348862417122,57,1633.9183544303798,25,100
1139.png,7,1873.2241213381556,39,2013.86582278481,1673.0084405816756,53,3184.1529535864975,38,100
1145.png,7,1726.2797704339964,12,1352.400421940928,1629.4958400994576,40,1464.5301687763715,58,100
115.png,7,1771.4995629746843,33,1904.604641350211,1865.3380576100058,23,1317.0350210970464,57,100
1163.png,7,1644.6957867691374,65,3891.3099156118137,1713.2732938366485,53,932.660970464135,27,100
1164.png,7,1458.7414588758288,52,4418.155274261604,1624.431132549729,46,999.0649789029535,38,100
1173.png,7,1869.3317635473184,38,487.37088607594933,1652.7530215641964,57,2751.4949367088607,32,100
1189.png,7,1408.2566736437614,24,830.3968354430377,1293.2974297166973,54,3714.4491561181435,41,100
119.png,7,2040.994278586498,14,1453.3246835443038,1989.0410488848702,38,1078.6567510548523,53,100
1205.png,7,1912.9024341018678,10,2457.0858649789025,1905.6187418324284,18,1317.1691983122362,77,100
1207.png,7,1938.813774035563,33,923.5227848101266,1790.6716074743817,23,2617.252953586498,54,100
1214.png,7,1598.2579272905364,40,1328.4947257383965,1425.901482700422,56,2459.010548523207,40,100
1218.png,7,1640.769935292346,12,1078.576793248945,1570.0652320675117,27,1763.8050632911395,68,100
122.png,7,1613.7644855485235,41,1822.3736286919832,1581.0049984026523,41,1571.6339662447258,49,100
1234.png,7,1476.0683690174812,35,3280.363713080169,1524.2143079264615,20,2375.1078059071724,64,100
1235.png,7,1592.8651894062693,53,5220.049999999998,1684.070503902954,21,1212.897046413502,45,100
1246.png,7,1380.9531165611813,31,1108.1194092827004,1280.2806502863175,43,5473.033544303796,49,100
1259.png,7,2129.7253681585294,13,1431.3808016877636,1886.8126284960827,52,3674.9284810126583,40,100
1262.png,7,2810.2508524261607,56,2854.013713080169,2548.795051989151,57,4190.938818565401,24,100
127.png,7,2142.0049969107904,11,657.8672995780591,1941.5878590114519,46,1673.3459915611816,46,100
1272.png,7,1737.573959192285,30,2317.2696202531647,1614.633832489452,35,1798.666033755274,50,100
130.png,7,1790.5560779083792,38,793.1698312236288,1766.6412941531048,30,1105.392194092827,57,100
1307.png,7,1778.7612869198313,7,2630.177848101266,1736.8392936708856,43,1082.1217299578059,52,100
1314.png,7,2385.1525195147683,58,7689.385864978903,2430.9587536317063,43,5074.083122362869,38,100
132.png,7,2061.8999937914386,20,1357.8881856540086,1893.3069152802889,58,1382.3052742616035,35,100
1322.png,7,1441.6246973478003,60,5382.138607594936,1476.6031544002417,50,2421.0594936708862,38,100
1325.png,7,1704.5132315400842,42,3798.5938818565382,1566.2657765521396,60,2841.083122362869,36,100
1339.png,7,1854.3210316757084,30,801.3156118143459,1764.4641960217,32,3026.468987341771,50,100
1345.png,7,1932.5998245780595,49,1134.8609704641349,1735.9493907926458,64,3261.4898734177204,23,100
1355.png,7,2109.0353010397826,20,707.1915611814346,1927.6700677667259,52,2337.3586497890287,34,100
1361.png,7,1848.0598304852308,63,6974.563713080168,1835.8297356540074,61,1219.0913502109704,28,100
1380.png,7,2382.7154675105485,59,6454.757594936709,2201.6132885021107,56,4304.933333333333,19,100
1389.png,7,1530.7022973477995,51,1710.7810126582274,1503.1395875678113,45,1206.5527426160336,36,100
1390.png,7,2185.0793424954795,36,1550.9772151898735,2216.7336235684147,37,5500.233122362869,59,100
1393.png,7,1929.5990536919835,48,4406.840084388185,1778.6750668324291,56,2956.5481012658233,29,100
1394.png,7,1808.869576371308,45,4222.761814345991,1738.703537884267,54,3144.7092827004217,35,100
1397.png,7,2341.2976331826403,26,9211.051265822785,2262.142796202531,36,6063.589029535865,59,100
1398.png,7,2280.4423322634107,53,7492.483333333328,2493.0654325346586,18,4597.957805907174,45,100
1403.png,7,2183.4913564044623,36,9045.713924050639,1951.026029038578,55,4152.164556962025,35,100
1404.png,7,2316.5769926009657,37,8199.090295358648,2106.369125527426,50,4299.884599156118,46,100
1409.png,7,2220.813229701626,60,6530.150421940929,2173.125744665461,67,3694.364135021097,28,100
142.png,7,1391.209089858348,62,2392.549367088607,1489.59206945449,50,2415.34135021097,27,100
1422.png,7,1854.7230501657627,81,5174.591561181433,2044.6970955394822,52,2765.8518987341768,17,100
1436.png,7,1517.3815942133826,33,5799.1472573839665,1575.0655579264617,26,3218.8232067510544,60,100
1455.png,7,1935.1290188366497,48,1264.3537974683543,1671.602440430983,58,2524.9364978902954,24,100
1458.png,7,1610.1424907926464,32,2486.650632911392,1483.3477448312237,56,1755.0704641350205,40,100
1465.png,7,1742.5515614828214,29,1493.5073839662446,1601.3855168776367,46,3276.764978902954,36,100
1468.png,7,2090.320516862569,58,4638.233122362869,1855.4060974683546,70,4180.8767932489445,26,100
1469.png,7,2062.8819339662455,13,6537.774050632912,1854.4918545057271,42,2105.317721518987,52,100
148.png,7,1972.5664812989748,30,5193.6424050632895,2125.62945751959,17,3258.9284810126574,62,100
1505.png,7,1372.590086708861,55,5485.075949367089,1421.8136724532849,29,461.6843881856539,41,100
1508.png,7,1765.0254146323086,11,961.0027426160336,1772.1027413502115,21,1794.0616033755275,74,100
1551.png,7,2178.0795165159725,50,1731.1603375527422,1938.732366892707,66,2018.8687763713078,30,100
1587.png,7,1332.4776189270651,13,767.3312236286919,1166.504019514768,42,1781.3162447257382,55,100
1607.png,7,2100.617318761303,18,217.58270042194096,2040.538982203135,20,1178.5394514767931,67,100
1617.png,7,1587.4450589361054,52,2718.7913502109704,1663.5501993670887,28,1382.0215189873416,38,100
164.png,7,1596.2569858047023,64,4561.576793248945,1738.1329729807112,55,3504.5303797468355,29,100
1647.png,7,2050.7564720012056,29,624.3289029535865,1701.1684837402051,68,4420.594303797467,23,100
1675.png,7,2056.784651883665,54,4873.504219409282,2198.8195802742616,41,2654.9464135021094,37,100
1697.png,7,1805.5609286166366,65,5721.60611814346,1909.4161931735994,59,1690.0822784810123,19,100
1702.png,7,1752.9535326100065,25,841.2573839662447,1595.7908941078958,45,2317.1012658227846,54,100
171.png,7,1684.6469658227843,44,2979.3320675105483,1507.0637764617243,64,3263.019409282699,30,100
1715.png,7,2491.1688645720315,3,7953.080379746835,2022.8867802742616,54,2937.734599156118,46,100
1716.png,7,1832.4975137130796,35,2836.204430379747,1795.141319876432,37,4780.817721518986,45,100
1720.png,7,1715.3281231163348,30,4037.576160337553,1536.2219852471378,48,1734.8691983122362,44,100
1721.png,7,1632.9759266124179,50,2636.6449367088603,1562.9641764918626,47,3773.766666666666,34,100
1738.png,7,2038.4153040837857,41,1549.2364978902954,1838.755275843882,59,1318.173839662447,26,100
1742.png,7,1681.8366677667273,41,2476.7588607594935,1581.2215936256782,54,1955.1392405063286,35,100
1744.png,7,1723.1500534810125,28,1615.1881856540085,1792.3444438215788,15,918.0827004219409,71,100
1756.png,7,1941.6039928119346,41,1591.0132911392404,1734.8769400843873,53,1934.1354430379743,32,100
1760.png,7,1865.9774056660635,4,856.8829113924049,1638.0558000000005,47,1586.6430379746835,53,100
1767.png,7,1522.455551235684,53,2183.1687763713076,1447.8384696805306,57,1741.6869198312233,34,100
1771.png,7,1663.69367168475,52,2140.627004219409,1593.1695324442437,47,1997.0166666666669,28,100
1775.png,7,1789.9524526371301,70,2925.979535864979,2018.061175482218,43,1645.9537974683542,28,100
1782.png,7,2155.4016194092824,35,9925.03691983123,2019.4910440626884,43,1740.7959915611812,48,100
1785.png,7,1915.8228260247138,46,7669.868565400843,1709.1376128842685,54,2207.3689873417725,37,100
1787.png,7,1838.480831525014,45,8306.763291139237,1912.9949683845687,42,1618.290506329114,43,100
1793.png,7,2071.796900813743,32,7240.008649789031,1851.63502145871,58,3692.1626582278477,35,100
1808.png,7,1758.163721518988,50,3338.0489451476797,1740.2216843881863,50,4179.261392405063,41,100
1818.png,7,1959.0456086497898,21,1737.7073839662448,1851.1761161241718,34,4117.660970464134,59,100
1842.png,7,1594.865876115129,42,3571.3132911392418,1512.7957854279684,41,2576.3421940928274,47,100
1846.png,7,1605.872443896926,58,2065.9367088607596,1571.8828929324893,55,2615.816455696202,30,100
1849.png,7,1736.0820583333334,37,1714.2559071729959,1759.056398312236,39,750.0324894514769,47,100
1857.png,7,1798.1827655063278,44,2238.5778481012658,1713.5393842224228,43,2097.0852320675112,37,100
1878.png,7,1336.3348828661847,59,4768.79092827004,1350.8296062989757,45,1430.5457805907172,33,100
189.png,7,1736.6359732368912,45,753.1293248945149,1616.686888487041,47,4593.153164556963,32,100
1913.png,7,1620.1112938215788,8,1099.9172995780589,1373.9615281645567,43,2548.670464135021,50,100
1923.png,7,1408.8125554249552,60,2069.268987341772,1342.2200853827608,65,2805.5111814345987,20,100
1942.png,7,1668.1641530590716,49,2689.650843881857,1744.906679460518,37,1061.5729957805906,38,100
1947.png,7,1634.4966447860163,66,1871.394725738396,1580.619411045811,57,5285.352320675106,25,100
1949.png,7,1566.7801085292338,64,2111.7926160337556,1548.2128249547925,51,2715.2575949367088,32,100
1952.png,7,1363.5296883514175,22,2329.7770042194093,1187.9876376280893,55,5580.543881856538,38,100
1957.png,7,1358.0575543851714,59,4648.100843881857,1183.360576657625,68,2158.9812236286916,27,100
1986.png,7,2147.265158212779,45,2178.6088607594934,1716.0055308167566,71,2425.154008438818,26,100
2.png,7,2294.08032236287,27,1251.6852320675105,2145.72181946956,40,2400.348101265822,56,100
2001.png,7,1241.7684852169984,48,3069.532911392405,1341.424190355636,26,1241.548312236287,49,100
2008.png,7,1969.7748834538882,34,7194.783544303794,1928.08741238698,45,4441.58312236287,44,100
2029.png,7,1669.68886659132,11,919.8308016877636,1360.6468783152502,60,3203.9107594936704,40,100
2035.png,7,1544.7846739451475,56,3344.0521097046417,1505.20078606088,47,1363.5170886075948,34,100
2044.png,7,2338.8176655063303,44,1660.0046413502105,2425.3593320825803,20,1656.9299578059072,55,100
2046.png,7,1514.4628365883063,63,4575.1042194092815,1510.4453142405066,56,1988.2989451476792,31,100
2051.png,7,1919.3357982218213,13,1593.5430379746833,1625.8009487040385,53,1410.1122362869198,44,100
2054.png,7,1791.8093527878245,72,3725.724261603375,1767.002987100664,61,2064.742616033755,19,100
207.png,7,2103.880927682339,61,4134.9282700421945,2449.9499156419533,36,3663.102109704642,39,100
2088.png,7,1496.782943972272,24,7726.523839662448,1489.7487140446049,27,987.54388185654,67,100
2091.png,7,1503.301332172996,26,1123.585654008439,1367.0663532700426,42,2448.708649789029,36,100
2095.png,7,2316.491166214587,16,1379.8702531645567,2201.3600244273666,43,875.6569620253165,51,100
2113.png,7,1844.0575806811332,44,1836.2405063291137,1823.4550325949367,49,2161.203375527426,42,100
2145.png,7,1471.7334039481618,45,874.2818565400844,1401.3315893911997,46,2342.8930379746826,31,100
2157.png,7,1606.832122875226,30,3082.77552742616,1624.1157086497894,21,460.7464135021097,64,100
2182.png,7,2743.829675210969,37,872.9767932489451,1777.6780243821577,54,2354.5668776371303,38,100
2233.png,7,3603.0877869198303,39,1537.2276371308014,3573.705489873417,20,1824.4215189873419,50,100
2234.png,7,2164.8451644514776,34,986.0902953586498,1918.0243466094034,48,1632.5044303797467,40,100
2255.png,7,1803.3548784659433,68,4538.760548523205,1928.6967324141056,61,1947.2808016877639,26,100
2273.png,7,1238.5849777727549,85,4121.043881856541,1710.4831796413498,61,2323.9822784810126,15,100
2277.png,7,1165.8956628842677,81,4121.043881856541,1523.7579382911395,61,2323.9822784810126,19,100
2278.png,7,1194.2898955394817,83,4121.043881856541,1560.850524367088,62,2323.9822784810126,17,100
2284.png,7,1123.659570629898,79,4121.043881856541,1452.574323417722,61,2323.9822784810126,21,100
2291.png,7,1353.4856952833031,31,856.0561181434598,1317.1253874924657,31,2695.3240506329116,49,100
2292.png,7,1454.788338908982,56,4307.087552742616,1403.4588038426766,57,3092.585443037975,33,100
2303.png,7,1601.9138701024715,58,1548.6829113924048,1556.0333431283902,58,3175.564978902954,28,100
2315.png,7,1467.6703974532854,39,789.4886075949366,1369.7926704792042,53,2396.8748945147677,39,100
2319.png,7,1603.9496855635923,57,5098.675527426159,1652.2902212628094,50,3147.387341772151,36,100
2320.png,7,1461.521371262809,56,4793.054008438819,1612.1539934900536,40,1905.2364978902951,35,100
233.png,7,1581.5756218957204,55,1432.643248945148,1589.8402856841474,47,1900.9493670886075,35,100
2337.png,7,1908.8753143459926,38,1280.4786919831222,1754.3790375226038,51,3516.856540084388,27,100
2338.png,7,1748.0827352169983,43,7249.853164556964,1641.176581555154,48,3216.2848101265818,36,100
2345.png,7,1780.8655371609402,34,1591.3637130801685,1572.2185735834835,64,4130.487130801689,26,100
2350.png,7,1663.1513777275466,37,3223.9080168776372,1673.1143610759493,35,1522.4675105485233,56,100
2353.png,7,1825.155386181435,62,2722.100421940928,1887.1949574291743,58,2000.3656118143458,27,100
2360.png,7,2146.1902191229647,57,4688.194303797469,2092.5487837251353,55,3717.8867088607594,21,100
2361.png,7,1796.307639285714,51,3774.7959915611823,1821.3616565852922,49,3272.60970464135,37,100
2363.png,7,1745.903467842074,40,3888.910337552743,1595.1408528028935,54,2232.151898734177,36,100
2375.png,7,1625.3871767179025,58,1405.4856540084386,1673.5575251054852,37,2905.3012658227844,29,100
2377.png,7,1671.5293010247137,66,3607.7772151898744,1559.3962502260395,62,2505.4888185654004,27,100
2381.png,7,1640.671890039181,42,2199.249156118143,1572.6251266425556,72,2901.066666666667,19,100
240.png,7,1354.7889481916818,35,1079.937974683544,1269.307260367691,52,4779.811392405063,33,100
2411.png,7,2201.3108067510548,58,5180.209704641348,2396.1401321729954,43,2719.337552742616,40,100
2422.png,7,2458.037588788427,29,2971.726793248945,2504.051585608801,13,3373.468565400843,66,100
2427.png,7,2075.736127320675,53,3030.161181434599,2279.0461448312235,37,4194.875527426161,36,100
2462.png,7,1744.798736708861,38,5246.564978902953,1874.8511940626881,20,3275.1691983122355,58,100
2474.png,7,1036.4866871308016,53,1725.3508438818567,968.6308169228449,50,1778.5658227848105,41,100
2476.png,7,1455.334783951175,37,3720.481012658228,1498.3923459915613,28,1768.2803797468355,56,100
2479.png,7,1181.716202712478,10,6857.645780590717,1189.394978089211,12,1717.0590717299576,78,100
2487.png,7,1653.6161616485836,46,7527.155907172994,1683.9794527576857,29,870.114345991561,50,100
2488.png,7,1022.1274445599759,45,702.6090717299578,1116.3186657172992,10,1036.4341772151897,50,100
2492.png,7,1308.2995043701023,71,3451.056540084388,1476.4228028782409,40,2769.5149789029547,22,100
2498.png,7,1432.7185541289928,18,1467.3487341772152,1337.688084674503,46,1523.5715189873415,50,100
2508.png,7,1731.6800527275464,50,4133.179957805907,1581.6645308318268,52,1887.5605485232068,42,100
2510.png,7,1718.0813698915015,38,4187.516033755273,1600.8198009192286,41,2011.3369198312234,48,100
2518.png,7,1853.206565672091,48,4105.786286919832,1858.7924867239303,24,2590.2371308016877,48,100
2533.png,7,1165.0110945449064,46,3186.162025316455,1233.0396626431584,15,1345.1995780590712,54,100
2539.png,7,1720.3482917570818,43,4437.264767932489,1771.0881835593734,10,976.1094936708862,47,100
2540.png,7,1320.2862439572032,40,1756.0928270042193,1313.5119009192283,32,480.10717299578056,51,100
2546.png,7,2089.3338933242912,9,1437.2303797468353,1519.1471112115728,55,1393.086497890295,42,100
2552.png,7,1683.6796077004224,32,3539.093248945147,1610.861984915612,34,2268.7118143459916,51,100
2554.png,7,1671.3495246232667,50,4726.98122362869,1435.8599826552136,73,2267.6371308016883,23,100
2572.png,7,1265.7506258438816,47,1642.1424050632913,1350.558488999397,18,3049.4512658227845,45,100
2574.png,7,752.7847802893316,13,1323.6221518987343,777.1939716244732,7,797.9599156118143,87,100
2575.png,7,1448.1924994273668,29,5805.319831223628,1376.3757987191086,41,1902.6172995780591,49,100
2579.png,7,965.8061443037972,4,686.0088607594937,962.4821116335141,2,1510.131434599156,96,100
2583.png,7,1513.4903551687771,65,3512.040295358649,1736.7905674050637,21,1722.2282700421943,35,100
